,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
134,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_jordan81,1,0,False,80,7.3,,,9,1,220,29,,,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Jordan 1981,https://doi.org/10.1038/291513a13,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
135,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_jordan81,1,0,False,36,3.29,,,62,4,840,111,,,,,,,,,,,,,,25,8.3,1,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Jordan 1981,https://doi.org/10.1038/291513a12,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
136,Aphanizomenon flos aquae,flos_aquae_jordan81,1,0,False,105,9.58,,,48,2,990,131,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a11,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
137,Coccochloris peniocystis,peniocystis_jordan81,1,0,False,121,11,,,47,2,1.22e+03,161,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a10,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
138,Aphanocapsa alpicola,alpicola_jordan83,1,0,False,80,22,,,48,1,,,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,Table 1. genome has ccmM,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
139,Echinochloa crus-galli,crus_galli_jordan83,1,0,False,18.4,2.1,,,83,3,,,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
140,Helianthus maximus,maximus_jordan83,1,0,False,10,0.4,,,77,3,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
141,Lycopersicon ensculentum,ensculentum_jordan83,1,0,False,8.2,0.6,,,82,2,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
142,Medicago sativa,sativa_jordan83,1,0,False,15.7,0.2,,,77,3,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
143,Panicum miliodes,miliodes_jordan83,1,0,False,10.4,0.8,,,76,3,,,,,,,,,,,,,,,,25,8.3,1,C3-C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
144,Petroselinum cripsum,cripsum_jordan83,1,0,False,11.6,0.5,,,77,2,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
145,Plectonema boryanum,boryanum_jordan83,1,0,False,100,38,,,54,2,,,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,"Table 1. unsure if A/B, probably B",Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
146,Polypodium aureum,aureum_jordan83,1,0,False,16.1,0.5,,,82,3,,,,,,,,,,,,,,,,25,8.3,1,Fern,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
147,Potulaca oleraca,oleraca_jordan83,1,0,False,13.6,0.1,,,78,4,,,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
148,Setaria italica,italica_jordan83,1,0,False,32.1,0.2,,,58,2,,,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
149,Sorghum bicolor,bicolor_jordan83,1,0,False,29.8,0.3,,,70,1,,,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
150,Amaranthus hybridus,hybridus_table3exp1_jordan84,1,0,False,,,,,78,6,,,,,,,,,,,,,,,,25,8.2,1,C4 plants,Table 3,Jordan 1984,https://doi.org/10.1007/BF00398729,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
151,Allochromatium vinosum,vinosum_jordan,1,0,False,37,2,6.7,0.4,41,1,290,25,1.28,0.999,1.61,1.28,,0.181,0.154,0.212,0.00442,0.00374,0.0052,14,1,25,8,1,Gammaproteobacteria,,Jordan 1985,3918498,"Jordan DB, Chollet R. Subunit dissociation and reconstitution of ribulose-1,5-bisphosphate carboxylase from Chromatium vinosum. Arch Biochem Biophys. 1985 Feb 1; 236(2):487-96."
152,Hordeum vulgare cv. Stirling,vulgare_kane,1,0,False,,,,,86.8,1.2,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940456,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-468"
153,Triticum aestivum,aestivum_kane,1,0,False,,,,,89.9,1,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940455,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-467"
154,Oryza punctata Kotschy,punctata_kane,1,0,False,,,,,85,1.3,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940454,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-466"
155,Zea mays,mays_kane,1,0,False,,,,,78.6,1,,,,,,,,,,,,,,,,25,8.3,1,C4 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940453,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-465"
156,Nicotiana tabacum,tabacum_kane,1,0,False,,,,,81.9,1,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940452,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-464"
157,Spinacia oleracea,oleracea_kane,1,0,False,,,,,82.1,0.8,,,,,,,,,,,,,,,,25,8.3,1,C3 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940451,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-463"
158,Synechococcus 6301,6301_kane,1,0,E. coli,,,,,42.5,1,,,,,,,,,,,,,,,,25,8.3,1,Cyanobacteria,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940450,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-462"
159,Rhodospirillum rubrum,rubrum_kane,1,0,E. coli,,,,,12.3,0.1,,,,,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940449,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-461"
163,Flaveria trinervia ,trinervia_kubien,1,0,False,17.9,1.8,4.42,0.15,77,0.8,671,31,2.15,1.73,2.75,,,0.246,0.204,0.31,0.0032,0.00264,0.00402,22.1,1.8,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
164,Flaveria bidentis ,bidentis_kubien,1,0,False,20.2,1.6,4.16,0.26,75.5,0.8,639,19,1.74,1.42,2.16,,,0.206,0.169,0.253,0.00273,0.00224,0.00335,18.7,0.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
165,Amaranthus edulis,edulis_kubien,1,0,False,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.844,0.6,1.4,,,0.226,0.161,0.374,0.00292,0.00208,0.00483,6.9,0.7,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
166,Zea mays ,mays_kubien,1,0,False,21.2,4.1,4.05,0.04,74.9,0.5,157,3,0.401,0.288,0.652,,,0.191,0.138,0.31,0.00255,0.00184,0.00414,26.2,1.3,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
167,Flaveria australasica,australasica_kubien,1,0,False,22,4.7,3.84,0.03,77.2,0.3,309,17,0.696,0.481,1.22,,,0.174,0.122,0.3,0.00225,0.00158,0.00388,14.7,1.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
168,Flaveria anomala ,anomala_kubien,1,0,False,10.7,0.6,3.8,0.22,77.9,0.9,605,46,2.75,2.21,3.41,,,0.355,0.303,0.417,0.00456,0.00389,0.00537,17.6,0.6,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
169,Flaveria vaginata ,vaginata_kubien,1,0,False,21.4,1.9,3.78,0.54,78.7,1.5,880,49,1.97,1.33,2.75,,,0.177,0.122,0.242,0.00224,0.00154,0.00309,16.9,0.5,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
170,Flaveria kochiana,kochiana_kubien,1,0,False,22.7,2.7,3.68,0.08,77,1.2,150,13,0.315,0.236,0.429,,,0.162,0.131,0.211,0.0021,0.00169,0.00275,14.3,0.6,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
171,Flaveria palmeri ,palmeri_kubien,1,0,False,13.5,0.9,3.54,0.16,83.8,1,193,5,0.604,0.513,0.718,,,0.262,0.225,0.309,0.00313,0.00268,0.00369,16.7,0.8,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
172,Flaveria linearis ,linearis_kubien,1,0,False,12.5,0.9,3.43,0.11,78.1,1.3,415,11,1.46,1.24,1.73,,,0.274,0.237,0.322,0.00351,0.00302,0.00414,19.5,0.7,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
173,Flaveria chloraefolia ,chloraefolia_kubien,1,0,False,12.4,2.3,3.35,0.13,81.6,1.3,740,35,2.46,1.75,3.89,,,0.271,0.196,0.427,0.00332,0.00239,0.00522,18.6,1.4,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
174,Spinacia oleracea,oleracea_kubien,1,0,False,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.64,2.23,,,0.264,0.231,0.306,0.00332,0.0029,0.00384,14.1,0.8,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
175,Flaveria floridana ,floridana_kubien,1,0,False,13.2,0.4,3.19,0.1,84.5,1.1,686,17,1.96,1.77,2.17,,,0.242,0.222,0.264,0.00286,0.00262,0.00313,12.7,1,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
176,Flaveria cronquistii ,cronquistii_kubien,1,0,False,10.8,0.4,3.13,0.25,81,2,653,36,2.33,1.87,2.85,,,0.289,0.241,0.34,0.00357,0.00296,0.00424,20.2,1.5,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
177,Flaveria pringlei,pringlei_kubien,1,0,False,12,2.1,3.11,0.2,80.8,1.2,666,28,2.13,1.52,3.3,,,0.258,0.187,0.398,0.0032,0.00231,0.00494,18,1.7,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
178,Chenopodium alba,alba_kubien,1,0,False,11.2,2.8,2.91,0.07,78.7,1,415,16,1.36,0.907,2.69,,,0.259,0.173,0.507,0.00329,0.00219,0.00643,10.9,0.9,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
179,Flaveria angustifolia,angustifolia_kubien,1,0,False,13.1,0.1,2.86,0.22,83.2,1,,,,,,,,0.218,0.185,0.252,,,,22.8,3.1,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
180,Flaveria ramosissima ,ramosissima_kubien,1,0,False,12,0.2,2.77,0.12,79.8,1.1,722,5,2.09,1.89,2.29,,,0.231,0.21,0.252,0.00289,0.00262,0.00318,9.4,0.5,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
181,Flaveria sonorensis ,sonorensis_kubien,1,0,False,10.2,1.4,2.69,0.12,84.3,1.4,785,6,2.46,1.9,3.39,,,0.264,0.205,0.362,0.00313,0.00242,0.0043,20.3,0.9,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
182,Flaveria brownii ,brownii_kubien,1,0,False,12.8,0.9,2.58,0.2,83.8,2.3,378,22,0.909,0.714,1.15,,,0.202,0.164,0.248,0.0024,0.00195,0.00298,15.1,1.4,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
184,Glycine max cv. Wayne,max_wayne_laing,1,0,False,25,2.28,,,,,390,51.5,,,,,,,,,,,,,,25,8.5,1,C3 plants,From table III. ,Laing 1974,16658951,"Laing WA, Ogren WL, Hageman RH. 1974. Regulation of soybean net photosynthetic CO2 fixation by the interaction of CO2, O2, and ribulose 1,5-diphosphate carboxylase. Plant Physiology 54, 678–685."
190,Trifolium repens (native ecotype),repens_25C_lehnherr,1,0,False,20.8,1.16,,,,,619,105,,,,,,,,,,,,,,25,8.23,1,C3 plants,,Lehnherr 1985,https://doi.org/10.1093/jxb/36.7.1117,"Lehnherr B, Machler F, Nosberger J. 1985. Influence of temperature on the ratio of ribulose bisphosphate carboxylase to oxygenase activities and on the ratio of photosynthesis to photorespiration of leaves. Journal of Experimental Botany 168, 1117–1125."
193,Cyanobium PCC7001,cyanobium_from_tobacco_long,1,0,Tobacco,158,8,9.8,0.2,55,1,,,,,,,,0.062,0.0558,0.0695,,,,38,1,25,8,1,Cyanobacteria,Assays in tobacco leaf lysate,Long 2018,30177711,"Long, Benedict M., et al. “Carboxysome Encapsulation of the CO2-Fixing Enzyme Rubisco in Tobacco Chloroplasts.” Nature Communications, vol. 9, no. 1, Sept. 2018, p. 3570, doi:10.1038/s41467-018-06044-0."
194,Cyanobium PCC7001,cyanobium_from_tobacco_csomes_long,1,0,Tobacco,169,14,9.4,0.4,,,,,,,,,,0.0556,0.0469,0.0673,,,,36,1,25,8,1,Cyanobacteria,Assays in tobacco leaf lysate,Long 2018,30177711,"Long, Benedict M., et al. “Carboxysome Encapsulation of the CO2-Fixing Enzyme Rubisco in Tobacco Chloroplasts.” Nature Communications, vol. 9, no. 1, Sept. 2018, p. 3570, doi:10.1038/s41467-018-06044-0."
195,Nicotiana tabacum,tabacum_long,0,0,False,9.7,0.1,3.1,0.3,80,2.6,,,,,,,,0.32,0.258,0.381,,,,19,3,25,8,1,C3 plants,Assays in tobacco leaf lysate,Long 2018,30177711,"Long, Benedict M., et al. “Carboxysome Encapsulation of the CO2-Fixing Enzyme Rubisco in Tobacco Chloroplasts.” Nature Communications, vol. 9, no. 1, Sept. 2018, p. 3570, doi:10.1038/s41467-018-06044-0."
196,Rhodospirillum rubrum,rubrum_morell,1,0,E. coli,67,9,7.3,0.3,,,,,,,,,,0.109,0.0847,0.15,,,,20,3,25,7.8,2,Alphaproteobacteria,,Morell 1990,https://doi.org/10.1016/0014-5793(90)80879-N,"Morell MK, Kane HJ, Andrews TJ (1990) Carboxylterminal deletion mutants of ribulosebisphosphate carboxylase from Rhodospirillum rubrum. FEBS Lett 265:41–45."
197,Synechococcus 6301,6301_morrell,1,0,E. coli,284,25.9,11.6,0.69,43,1,,,,,,,,0.0408,0.0332,0.0515,,,,21,2.54,25,7.8,1,Cyanobacteria,"Cites Andrews 1988 for kcat & KM methods, Kane 1994 for S measurement method",Morell 1994,8132534,"Morell, M. K., Paul, K., O’Shea, N. J., Kane, H. J. & Andrews, T. J. Mutations of an active site threonyl residue promote beta elimination and other side reactions of the enediol intermediate of the ribulose bisphosphate carboxylase reaction. J. Biol. Chem. 269, 8091–8098 (1994)."
201,Acidithiobacillus ferrooxidans,ferrooxidans_FI_cajar,1,0,E. coli,81,7.39,6.8,0.404,,,,,,,,,,0.0841,0.0684,0.105,,,,,,25,8,1,Gammaproteobacteria,"Uses a 2 pKa model, pK1 = 6.251 and pK2 = 10.329",Mueller-Cajar (personal),,Oliver Mueller-Cajar personal communication
202,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_cajar,1,0,E. coli,73,6.66,5.2,0.309,,,,,,,,,,0.0713,0.0581,0.0893,,,,,,25,8,1,Alphaproteobacteria,"Uses a 2 pKa model, pK1 = 6.251 and pK2 = 10.329. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Mueller-Cajar (personal),,Oliver Mueller-Cajar personal communication
207,Rhodospirillum rubrum,rubrum_mueller_cajar,1,0,E. coli,149,8,12.3,0.3,9,0.3,159,25,1.46,0.993,1.98,1.4,,0.0826,0.074,0.0934,0.0092,0.00808,0.0106,,,25,8,2,Alphaproteobacteria,S at pH 8.3. Merged for simplicity. ,Mueller-Cajar 2007,18004873,"Mueller-Cajar, Oliver, et al. “Directed Evolution of Rubisco in Escherichia Coli Reveals a Specificity-Determining Hydrogen Bond in the Form II Enzyme.” Biochemistry, vol. 46, no. 49, Dec. 2007, pp. 14067–74, doi:10.1021/bi700820a."
216,Synechococcus 6301,se_mueller_cajar,1,0,E. coli,200,9,11.8,0.2,41.5,2,199,42,0.282,0.165,0.41,0.28,,0.059,0.0538,0.0651,0.00142,0.00125,0.00163,,,25,8,1,Cyanobacteria,S at pH 8.3. Merged for simplicity. ,Mueller-Cajar 2008,18484948,"Mueller-Cajar, Oliver, and Spencer M. Whitney. “Evolving Improved Synechococcus Rubisco Functional Expression in Escherichia Coli.” Biochemical Journal, vol. 414, no. 2, biochemj.org, Sept. 2008, pp. 205–14, doi:10.1042/BJ20080668."
217,Synechococcus elongatus PCC 7942,7942_occhialini,1,0,Tobacco,172,64,14.4,0.4,43,4,585,38,1.14,0.617,3.96,1.22,0.32,0.083,0.0477,0.281,0.00195,0.00108,0.00668,,,25,8.1,1,Cyanobacteria,Heterologously expressed in Tobacco. Also data in the paper where rbcX is co-expressed - about the same. ,Occhialini 2015,26662726,"Occhialini, Alessandro, et al. “Transgenic Tobacco Plants with Improved Cyanobacterial Rubisco Expression but No Extra Assembly Factors Grow at near Wild-Type Rates If Provided with Elevated CO2.” The Plant Journal: For Cell and Molecular Biology, vol. 85, no. 1, Jan. 2016, pp. 148–60, doi:10.1111/tpj.13098."
218,Nicotiana tabacum,tabacum_occhialini,1,0,False,9,0.3,3.9,0.2,91.2,6.3,292,20,1.38,1.11,1.74,1.38,0.04,0.434,0.384,0.487,0.00475,0.00397,0.00574,,,25,8.1,1,C3 plants,Assays in tobacco leaf tissue homogeonate,Occhialini 2015,26662726,"Occhialini, Alessandro, et al. “Transgenic Tobacco Plants with Improved Cyanobacterial Rubisco Expression but No Extra Assembly Factors Grow at near Wild-Type Rates If Provided with Elevated CO2.” The Plant Journal: For Cell and Molecular Biology, vol. 85, no. 1, Jan. 2016, pp. 148–60, doi:10.1111/tpj.13098."
219,Flaveria bidentis,bidentis_perdomo,1,0,False,19.5,1.2,3.42,0.14,80,0.3,,,,,,,,0.175,0.152,0.204,,,,21.5,0.8,25,,1,C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
220,Flaveria trinervia,trinervia_perdomo,1,0,False,18.4,0.8,3.28,0.2,78.3,1.6,,,,,,,,0.178,0.152,0.206,,,,20.8,0.5,25,,1,C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
